%Vel	Prob
0.975	0.34
1.025	0.64
1.075	0.69
1.125	1.08
1.175	2.56
1.225	5.22
1.275	7.93
1.325	10.30
1.375	8.72
1.425	6.40
1.475	4.53
1.525	3.40
1.575	3.20
1.625	2.66
1.675	3.45
1.725	3.69
1.775	7.54
1.825	3.55
1.875	1.38
1.925	1.58
1.975	1.58
2.025	2.07
2.075	2.12
2.125	1.72
2.175	2.32
2.225	1.28
2.275	3.20
2.325	2.27
2.375	2.07
2.425	1.48
2.475	0.44
2.525	0.49
2.575	0.10
